2, 11, 9, 4, 7, 5, 3, 12, 6, 10, 8
2, 11, 9, 4, 7, 5, 3, 12, 6, 10, 8
2, 3, 9, 4, 7, 5, 11, 12, 6, 10, 8
2, 3, 5, 4, 7, 9, 11, 12, 6, 10, 8
2, 3, 5, 4, 7, 9, 11, 12, 6, 10, 8
2, 3, 4, 5, 7, 9, 11, 12, 6, 10, 8
2, 3, 4, 5, 7, 9, 11, 12, 6, 10, 8
2, 3, 4, 5, 7, 9, 11, 8, 6, 10, 12
2, 3, 4, 5, 7, 9, 11, 8, 6, 10, 12
2, 3, 4, 5, 7, 9, 10, 8, 6, 11, 12
2, 3, 4, 5, 7, 9, 10, 8, 6, 11, 12
2, 3, 4, 5, 7, 9, 6, 8, 10, 11, 12
2, 3, 4, 5, 7, 9, 6, 8, 10, 11, 12
2, 3, 4, 5, 7, 8, 6, 9, 10, 11, 12
2, 3, 4, 5, 7, 8, 6, 9, 10, 11, 12
2, 3, 4, 5, 7, 6, 8, 9, 10, 11, 12
2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
